HOTEL_CUSTOMER_ID,FOL_ACT_ARR_DATE,FOL_ACT_DEP_DATE,Arrival Month,Departure Month,Duration,DEBIT_TTL,ROOMDEBIT,OTHERDEBIT,FNBDEBIT,ENTERTNDEBIT,RETLDEBIT,CREDIT_TTL,ROOMCREDIT,OTHERCREDIT,FNBCREDIT,ENTERTNCREDIT,RETLCREDIT,TOTAL_CHARGES
1,11-Aug-2002,14-Aug-2002,Aug,Aug,3.00,65.34,0,65.34,0,0,0,0,0,0,0,0,0,65.34
2,19-Jul-2002,23-Jul-2002,Jul,Jul,4.00,472.7,0,469.7,3,0,0,0,0,0,0,0,0,472.7
2,22-Sep-2003,23-Sep-2003,Sep,Sep,1.00,41.64,0,36.64,5,0,0,0,0,0,0,0,0,41.64
3,11-Mar-2002,15-Mar-2002,Mar,Mar,4.00,1259.09,1042.04,31.73,32.07,153.25,0,0,0,0,0,0,0,1259.09
4,12-Jun-2002,16-Jun-2002,Jun,Jun,4.00,435.76,435.76,0,0,0,0,0,0,0,0,0,0,435.76
5,15-May-2003,17-May-2003,May,May,2.00,439.82,239.68,44.98,136.16,0,19,0,0,0,0,0,0,439.82
5,29-Aug-2002,1-Sep-2002,Aug,Sep,3.00,747.07,512.31,7,227.76,0,0,0,0,0,0,0,0,747.07
6,7-Jun-2002,9-Jun-2002,Jun,Jun,2.00,506.69,479.48,0,27.21,0,0,0,0,0,0,0,0,506.69
6,7-Mar-2003,9-Mar-2003,Mar,Mar,2.00,108.03,0,108.03,0,0,0,0,0,0,0,0,0,108.03
6,13-Apr-2002,14-Apr-2002,Apr,Apr,1.00,185.24,185.24,0,0,0,0,0,0,0,0,0,0,185.24
6,13-Sep-2002,15-Sep-2002,Sep,Sep,2.00,153.48,152.48,1,0,0,0,0,0,0,0,0,0,153.48
6,22-Nov-2002,24-Nov-2002,Nov,Nov,2.00,108.94,0,108.94,0,0,0,0,0,0,0,0,0,108.94
6,27-Mar-2003,28-Mar-2003,Mar,Mar,1.00,65.34,65.34,0,0,0,0,0,0,0,0,0,0,65.34
6,28-Jun-2002,30-Jun-2002,Jun,Jun,2.00,469.44,435.88,0,33.56,0,0,0,0,0,0,0,0,469.44
7,11-Sep-2003,15-Sep-2003,Sep,Sep,4.00,3,0,0,3,0,0,0,0,0,0,0,0,3
7,12-Sep-2003,15-Sep-2003,Sep,Sep,3.00,25,0,25,0,0,0,0,0,0,0,0,0,25
7,15-Feb-2002,17-Feb-2002,Feb,Feb,2.00,80,0,80,0,0,0,0,0,0,0,0,0,80
